Name,Address,Claim Number,Date of Loss,Report Path
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234,2025-06-10,reports\1234.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,12345,2025-06-10,reports\12345.docx
Pubdev,0xc9796a0b8736854e836e724e3c43302c48ba970b,123456,2025-06-29,reports\123456.docx
unnati0505,CD- 33 sector- 3 dhurwa ranchi,12345678,2025-06-22,reports\12345678.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,123456789,2025-06-01,reports\123456789.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,987,2025-06-08,reports\987.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,9,2025-06-03,reports\9.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,9999,2025-06-17,reports\9999.docx
Prabhat Thakur,1ASkpLboUs9yqnpYHZcsuHC6BkEhA9DaHi,9870,2025-06-24,reports\9870.docx
pragati0501,CD- 33 sector- 3 dhurwa ranchi,987999,2025-06-18,reports\987999.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,9898,2025-06-17,reports\9898.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,98769,2025-06-25,reports\98769.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,9989,2025-06-23,reports\9989.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234787865565,2025-06-23,reports\1234787865565.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,123487479,2025-06-23,reports\123487479.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,123487479,2025-06-23,reports\123487479.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234787865565,2025-06-23,reports\1234787865565.docx
pragati0501,CD- 33 sector- 3 dhurwa ranchi,1234,2025-06-17,reports\1234.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234787865565,2025-06-23,reports\1234787865565.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234787865565,2025-06-23,reports\1234787865565.docx
Prabhat Thakur,1ASkpLboUs9yqnpYHZcsuHC6BkEhA9DaHi,12345,2025-06-03,reports\12345.docx
Prabhat Thakur,1ASkpLboUs9yqnpYHZcsuHC6BkEhA9DaHi,12345,2025-06-03,reports\12345.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,123456,2025-06-17,reports\123456.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234567878,2025-06-03,reports\1234567878.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234567878,2025-06-03,reports\1234567878.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234567878,2025-06-03,reports\1234567878.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,123456,2025-06-17,reports\123456.docx
Prabhat Thakur,CD- 33 sector- 3 dhurwa ranchi,1234,2025-06-03,reports\1234.docx
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,1234,2025-06-03,2025-06-04,2025-06-11,Water,grevvr,9900,1100,2200,E22CSEU0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,1234,2025-06-10,2025-06-12,2025-06-18,Water,ejwhfcewBCHJDBVHJBDFAHJVBAFHDJBV,9900,1100,2200,E22CSEU0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,1234567,2025-06-20,2025-06-11,2025-06-25,earth,power ranger,9900,1100,2200,e22cseu0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,123456,2025-06-17,2025-06-21,2025-06-12,Water,flood ,9900,1100,2200,prabhu012002@gmail.com
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,123456,2025-06-17,2025-06-21,2025-06-12,Water,vhjhj,9900,1100,2200,E22CSEU0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,1234567,2025-06-26,2025-06-06,2025-06-03,Water,vy,9900,1100,2200,e22cseu0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,1234567,2025-06-26,2025-06-06,2025-06-03,Water,vy,9900,1100,2200,e22cseu0448@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,123456,2025-06-10,2025-06-09,2025-06-09,earth,svfdf,9900,1100,2200,E22CSEU0430@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,123456,2025-06-10,2025-06-09,2025-06-09,earth,svfdf,9900,1100,2200,E22CSEU0430@bennett.edu.in
gbfbfd,CD- 33 sector- 3 dhurwa ranchi,ABCD,12345,2025-06-27,2025-06-12,2025-06-10,Water,jbsdckjdsbcjk,9900,1100,2200,E22CSEU0430@bennett.edu.in
